,Article,Summary
907,some device feature may compatible mdm version refer table see feature supported mdm version feature name generic plus samsung signed amazon casio drs samsung elm signed honeywell htc huawei kyocera lenovo lg motorola panasonic pidion sony firewall mdm parent topic email firewall mdm email,vendor compatibility matrix firewall console reference dialog profile androidplus vendorcompatmatrix firewall androidplus
908,kiosk mode replaces standard device home screen customizable home screen provides access authorized application website new open add menu item dialog box specify setting new kiosk menu item edit open add menu item dialog box edit setting selected kiosk menu item delete deletes selected kiosk menu item move up move selected menu item one position higher menu order move down move selected menu item one position lower menu order template open edit menu template list dialog box add edit delete menu item appear template list advanced open advanced kiosk setting dialog box specify advanced setting kiosk mode parent topic email new open add menu item dialog box specify setting new kiosk menu item edit open add menu item dialog box edit setting selected kiosk menu item delete deletes selected kiosk menu item move up move selected menu item one position higher menu order move down move selected menu item one position lower menu order template open edit menu template list dialog box add edit delete menu item appear template list advanced open advanced kiosk setting dialog box specify advanced setting kiosk mode email,kiosk mode console reference dialog profile androidplus profile kioskmode androidplus
909,kiosk mode replaces standard device home screen customizable home screen provides access authorized application website in advanced kiosk setting modify kiosk mode operates device kiosk method activity suppression when enabled default kiosk mode method replaced pollingbased method prevents device user accessing unauthorized application activity suppression monitor device unapproved activity foreground move background device user access home button hide floating home button when enabled home button normally float kiosk mode home screen hidden parent topic email kiosk method activity suppression when enabled default kiosk mode method replaced pollingbased method prevents device user accessing unauthorized application activity suppression monitor device unapproved activity foreground move background device user access home button hide floating home button when enabled home button normally float kiosk mode home screen hidden email,advanced console reference dialog profile androidplus profile kioskmode advanced androidplus
910,use knox container profile configuration activate samsung device support feature note you must samsung knox license available use profile configuration parent topic related concept email,knox container console reference dialog profile androidplus profile knoxcontainer androidplus
911,device lockdown replaces standard device home screen customizable home screen provides access authorized application website device program menu this section enables add edit reorder delete menu item device lockdown speed lockdown to specify list menu item displayed device lockdown select device control tab to specify list menu item displayed speed lockdown select speed control tab new open add menu item dialog box specify setting new lockdown menu item edit open add menu item dialog box edit setting selected lockdown menu item delete deletes selected lockdown menu item move up move selected menu item one position higher menu order move down move selected menu item one position lower menu order template open edit menu template list dialog box add edit delete menu item appear template list advanced on device control tab button open advanced lockdown setting dialog box specify advanced setttings device lockdown on speed control tab button open advanced speed control setting dialog box specify advanced setting speed lockdown status bar note this section appears device control tab disable status bar expansion select option disable status bar expansion device disable setting change select option disable setting change device hide status bar select option hide status bar device parent topic email new open add menu item dialog box specify setting new lockdown menu item edit open add menu item dialog box edit setting selected lockdown menu item delete deletes selected lockdown menu item move up move selected menu item one position higher menu order move down move selected menu item one position lower menu order template open edit menu template list dialog box add edit delete menu item appear template list advanced on device control tab button open advanced lockdown setting dialog box specify advanced setttings device lockdown on speed control tab button open advanced speed control setting dialog box specify advanced setting speed lockdown disable status bar expansion select option disable status bar expansion device disable setting change select option disable setting change device hide status bar select option hide status bar device email,lockdown console reference dialog profile androidplus profile lockdown androidplus
912,specify display name program path url item want add lockdown menu you also specify image lockdown menu item display name enter display name menu item appear device package name script file url enter path web address package id bundle identifier device for instance package id bundle identifier google map comandroidappsmaps the package automatically prefixed launch uri if attempting navigate web page simply enter url example httpwwwcompanycom movie allows video played lockdown dial open dialer specified number example dial launch application based package id example launchcomandroidchrome launchalways launch application based package id retain ability switch application without losing recent data example launchalwayscomandroidchrome launchalwayswithrecents launch application based package id retain ability switch application without losing recent data the app also added recent apps view example launchalwayswithrecentscomandroidchrome file open file device eg filesdcardcontentdocumentpdf http open webpage within lockdown http open secured webpage within lockdown ftp open ftp within lockdown browser open url browser using http protocol browser open url browser using http protocol surf open url soti surf secure browser the soti surf app must installed device configured soti surf profile configuration intent open android intent eg intentintentactionnetsotimobicontroladminpassworddialogidialogtypeend see information action executes soti mobicontrol action to change device password use actionchangedevicepassword to configure wifi use actionconfigurewifi image optional select file name image want displayed lockdown menu item the image automatically delivered device lockdown configuration select image file list click browse button select image file local file system to display image lockdown menu must include mcdispimgn tag html template see information note if want replace image previously imported upload new image file maintaining name old image file you asked confirm overwriting old image file click yes new image displayed launch automatically startup when option selected program associated menu item automatically executed startup soft reset restart lockdown process parent topic email display name enter display name menu item appear device package name script file url enter path web address package id bundle identifier device for instance package id bundle identifier google map comandroidappsmaps the package automatically prefixed launch uri if attempting navigate web page simply enter url example httpwwwcompanycom movie allows video played lockdown dial open dialer specified number example dial launch application based package id example launchcomandroidchrome launchalways launch application based package id retain ability switch application without losing recent data example launchalwayscomandroidchrome launchalwayswithrecents launch application based package id retain ability switch application without losing recent data the app also added recent apps view example launchalwayswithrecentscomandroidchrome file open file device eg filesdcardcontentdocumentpdf http open webpage within lockdown http open secured webpage within lockdown ftp open ftp within lockdown browser open url browser using http protocol browser open url browser using http protocol surf open url soti surf secure browser the soti surf app must installed device configured soti surf profile configuration intent open android intent eg intentintentactionnetsotimobicontroladminpassworddialogidialogtypeend see information action executes soti mobicontrol action to change device password use actionchangedevicepassword to configure wifi use actionconfigurewifi image optional select file name image want displayed lockdown menu item the image automatically delivered device lockdown configuration select image file list click browse button select image file local file system to display image lockdown menu must include mcdispimgn tag html template see information note if want replace image previously imported upload new image file maintaining name old image file you asked confirm overwriting old image file click yes new image displayed launch automatically startup when option selected program associated menu item automatically executed startup soft reset restart lockdown process email,add menu item console reference dialog profile androidplus profile lockdown addmenuitem androidplus
913,show list lockdown menu template available lockdown dialog box dropdown list template add open file browser select html file want add template list edit open lockdown menu template editor edit selected template delete deletes selected template rename renames selected template copy make copy selected template parent topic email add open file browser select html file want add template list edit open lockdown menu template editor edit selected template delete deletes selected template rename renames selected template copy make copy selected template email,edit menu template list console reference dialog profile androidplus profile lockdown templatelist androidplus
914,the lockdown menu template editor enables edit html code lockdown menu template for information customizing html code lockdown menu template see insert image open select image dialog box select image want add template insert custom data field open insert custom data dialog box select custom data want add template insert custom attribute field open insert custom attribute dialog box select custom attribute want add template parent topic related information email insert image open select image dialog box select image want add template insert custom data field open insert custom data dialog box select custom data want add template insert custom attribute field open insert custom attribute dialog box select custom attribute want add template email,lockdown menu template editor console reference dialog profile androidplus profile lockdown templateeditor androidplus
915,select image want add lockdown menu template dropdown list click add select image file list parent topic email,select image console reference dialog profile androidplus profile lockdown selectimage androidplus
916,select custom data definition want add lockdown menu template parent topic email,insert custom data console reference dialog profile androidplus profile lockdown insertdata androidplus
917,select custom attribute definition want add lockdown menu template parent topic email,insert custom attribute console reference dialog profile androidplus profile lockdown insertattribute androidplus
918,speed lockdown triggered device travelling set speed specified dialog box the speed device calculated tracking difference device location using device gps unit time activate from to specify start time end time day want speed control activated device speed control start enter speed control triggered speed measurement unit note when device travel speed lockdown applied time specified engage timer field expired engage timer enter time second device travel threshold speed lockdown applied this delay help prevent excessive applying speed lockdown disengage timer enter time second device travel threshold speed lockdown removed this delay help prevent excessive removal speed lockdown script execute device speed control applied select script want executed device speed lockdown applied to add new script click script open manage script dialog box script execute device speed control removed select script want executed device speed lockdown removed to add new script click script open manage script dialog box parent topic email activate from to specify start time end time day want speed control activated device speed control start enter speed control triggered speed measurement unit note when device travel speed lockdown applied time specified engage timer field expired engage timer enter time second device travel threshold speed lockdown applied this delay help prevent excessive applying speed lockdown disengage timer enter time second device travel threshold speed lockdown removed this delay help prevent excessive removal speed lockdown script execute device speed control applied select script want executed device speed lockdown applied to add new script click script open manage script dialog box script execute device speed control removed select script want executed device speed lockdown removed to add new script click script open manage script dialog box email,advanced speed control setting console reference dialog profile androidplus profile lockdown speedcontrols androidplus
919,lockdown mode replaces standard device home screen customizable home screen provides access authorized application website in advanced lockdown setting modify lockdown mode operates device activity suppression method package blocking legacy when enabled application prevented launching running background unless explicitly allowed active lockdown policy this option overly restrictive cause issue inadvertently blocking system application note this option used disable factory reset block o upgrade device feature control policy activity suppression method samsung package disabling when enabled undesired activity disabled package level this method available certain samsung device the device must running android mdm soti mobicontrol agent installed parent topic email activity suppression method package blocking legacy when enabled application prevented launching running background unless explicitly allowed active lockdown policy this option overly restrictive cause issue inadvertently blocking system application note this option used disable factory reset block o upgrade device feature control policy activity suppression method samsung package disabling when enabled undesired activity disabled package level this method available certain samsung device the device must running android mdm soti mobicontrol agent installed email,advanced console reference dialog profile androidplus profile lockdown advanced androidplus
920,some device feature may compatible mdm version refer table see feature supported mdm version feature name generic plus samsung signed amazon casio drs samsung elm signed honeywell htc huawei kyocera lenovo lg motorola panasonic pidion sony hide status bar mdm disable status bar expansion mdm disable setting change mdm parent topic email hide status bar mdm disable status bar expansion mdm disable setting change mdm email,vendor compatibility matrix lockdown console reference dialog profile androidplus vendorcompatmatrix lockdown androidplus
921,the out contact configuration enables specify action taken device reconnected soti mobicontrol within specified period time device side action list outofcontact time period trigger event corresponding action event add open event configuration dialog box specify outofcontact time period script want run device time period elapsed edit open event configuration dialog box edit selected outofcontact event delete deletes selected outofcontact event list parent topic email add open event configuration dialog box specify outofcontact time period script want run device time period elapsed edit open event configuration dialog box edit selected outofcontact event delete deletes selected outofcontact event list email,out contact console reference dialog profile androidplus profile outofcontact androidplus
922,specify event want track action want soti mobicontrol execute event occurs event select event want track soti mobicontrol execute specified action event occurs action select script executed device event occurs to define new script click script button open manage script dialog box parent topic email,event configuration console reference dialog profile androidplus profile outofcontact eventconfiguration androidplus
923,the passcode profile configuration enables manage deviceside passwordbased user authentication samsung knox device complexity requirement minimum password quality specify password quality user must use creating password this either alphanumeric smart card minimum number complex character specify many complex character needed password these include maximum character occurrence specify many time character used password maximum character sequence length specify length character used alphabetically minimum number character changed password change specify amount character must changed changing password history maximum password age specify long user password used android device must changed password history specify many password remembered user use password policy maximum failed password attempt specify amount time user enter wrong password lock delay specify long device stay unlocked the device automatically lock expired time password visible allows make password visible forbidden string allows specify password forbidden clicking text box bring dialog enter one string for example want user qwerty password add forbidden string section note forbidden string checked new password created device user for example adding new forbidden string device using password already contain new forbidden string flagged violation however user attempt change password us forbidden string prompted choose different password all authentication policy requirement checked existing new password parent topic email minimum password quality specify password quality user must use creating password this either alphanumeric smart card minimum number complex character specify many complex character needed password these include maximum character occurrence specify many time character used password maximum character sequence length specify length character used alphabetically minimum number character changed password change specify amount character must changed changing password maximum password age specify long user password used android device must changed password history specify many password remembered user use password maximum failed password attempt specify amount time user enter wrong password lock delay specify long device stay unlocked the device automatically lock expired time password visible allows make password visible forbidden string allows specify password forbidden clicking text box bring dialog enter one string for example want user qwerty password add forbidden string section email,passcode console reference dialog profile androidplus profile passcode androidplus
924,the phone call configuration enables control phone number device able place outgoing call receive incoming call the phone call dialog box display two list phone number list available control list selected control list when first create list phone number want control access added available control list when want apply phone number list configuration move selected control list available control list this list phone number list created yet applied configuration to apply phone number list move available control list selected control list selected control list this list phone number list applied configuration new open new phone call dialog box create list phone number want restrict either outgoing incoming access edit open edit phone call dialog box edit list phone number want restrict access delete deletes selected phone number list only phone number list available control list deleted notify server when call blocked record incoming outgoing blocked call server log notify device user when call blocked display message device user call blocked phone number received parent topic email available control list this list phone number list created yet applied configuration to apply phone number list move available control list selected control list selected control list this list phone number list applied configuration new open new phone call dialog box create list phone number want restrict either outgoing incoming access edit open edit phone call dialog box edit list phone number want restrict access delete deletes selected phone number list only phone number list available control list deleted notify server when call blocked record incoming outgoing blocked call server log notify device user when call blocked display message device user call blocked phone number received email,phone call console reference dialog profile androidplus profile phonecalls androidplus
925,this dialog box list phone number want block allow access use dialog box add edit delete phone number name enter descriptive name want give list phone number type select whether want allow deny access list phone number direction select phone call direction want allow deny list phone number incoming outgoing add enables add phone number list note the phone number must contain number do include number group separator dash space edit enables edit selected phone number list delete deletes selected phone number list import phone number open dialog box select text file contains list phone number want import note the imported file must plain text format one phone number per line using wildcard character soti mobicontrol support use asterisk question mark wildcard character indicate range phone number an asterisk match zero digit question mark match one digit example match phone number start example match following phone number you also use two wildcard character combination for example would match parent topic email name enter descriptive name want give list phone number type select whether want allow deny access list phone number direction select phone call direction want allow deny list phone number incoming outgoing add enables add phone number list note the phone number must contain number do include number group separator dash space edit enables edit selected phone number list delete deletes selected phone number list import phone number open dialog box select text file contains list phone number want import note the imported file must plain text format one phone number per line email,newedit phone call console reference dialog profile androidplus profile phonecalls newedit androidplus
926,the setting manager app enables provide controlled access subset device setting device lockdown mode choose device setting configuring setting manager app using setting manager profile configuration display setting profile configuration description setting in xml configuration adaptive brightness when enabled device user control adaptive brightness setting device brightnessseek brightness when enabled device user set brightness level display brightnessauto screen rotation when enabled device user decide display remains portrait mode persistently rotates automatically device change position autorotate screen timeout when enabled device user set period device screen time go sleep screentimeout sound setting profile configuration description setting in xml configuration ringtone volume when enabled device user control volume ringtone device ringtonevolume medium volume when enabled device user control volume medium play device mediavolume notification volume when enabled device user modify volume device notification notificationvolume system volume when enabled device user control volume device systemvolume wifi setting profile configuration description setting in xml configuration enable when enabled device user access wifi connectivity setting wifionoff scan when enabled device scan available wifi network wifiscan bluetooth setting profile configuration description setting in xml configuration enable when enabled device access bluetooth btonoff visible when enabled device visible bluetooth enabled device btmakevisible pair when enabled device pair bluetooth enabled device btpairunpair scan when enabled device scan visible bluetooth enabled device btscan parent topic related task email adaptive brightness when enabled device user control adaptive brightness setting device brightnessseek brightness when enabled device user set brightness level display brightnessauto screen rotation when enabled device user decide display remains portrait mode persistently rotates automatically device change position autorotate screen timeout when enabled device user set period device screen time go sleep screentimeout ringtone volume when enabled device user control volume ringtone device ringtonevolume medium volume when enabled device user control volume medium play device mediavolume notification volume when enabled device user modify volume device notification notificationvolume system volume when enabled device user control volume device systemvolume enable when enabled device user access wifi connectivity setting wifionoff scan when enabled device scan available wifi network wifiscan enable when enabled device access bluetooth btonoff visible when enabled device visible bluetooth enabled device btmakevisible pair when enabled device pair bluetooth enabled device btpairunpair scan when enabled device scan visible bluetooth enabled device btscan email,setting manager console reference dialog profile androidplus profile settingsmanager androidplus
927,knox single sign on identity service enables onetime action user authentication authorization permit access multiple service apps within container also reducing exposure risk security credential logins note single sign on available apps developed samsung knox sso apis to gain access apis centrify account must used customer id your customer id provided centrify company name the name company icon any custom icon wish use clicking image allows upload new image apply sso select all application within container enable sso application support functionality select only specific application within container allow specify application use sso functionality click add enter name application want add this field query google play store search application available play store click edit change package name information application already added click delete remove application added parent topic email customer id your customer id provided centrify company name the name company icon any custom icon wish use clicking image allows upload new image apply sso select all application within container enable sso application support functionality select only specific application within container allow specify application use sso functionality click add enter name application want add this field query google play store search application available play store click edit change package name information application already added click delete remove application added email,single sign on console reference dialog profile androidplus profile singlesignon androidplus
928,setting the soti hub profile configuration enables make enterprise content accessible device user via soti hub app manage device user use app note it possible assign multiple soti hub profile configuration device if conflict setting different configuration restrictive setting apply for example inactivity timeout set one configuration inactivity timeout applies device every time soti hub configuration reassigned device user logged soti hub app applies change general description enter name soti hub configuration this name used description configuration note this field contain following character application setting allow user save password allow device user save password login screen if set prefill username prefill password see application also remember username content refresh interval specify frequently minute soti hub app contact content repository server synchronizes change content soti hub app inactivity timeout specify long minute app inactive ie screen user interacted app etc device user logged soti hub app enter disable inactivity timeout cancel downloads inactivity timeout cancel downloads progress inactivity timeout period expires this option selected default if set inactivity timeout period begin downloads completed this option available inactivity timeout set content repository setting the content repository store file want device user access soti hub app the content repository must hosted ntfs file server accessible via ii webdav server sharepoint onpremises server see information repository url enter url site repository the soti hub app us url access content repository server the port may specified part url if plan route traffic enterprise resource gateway specify internal url used access content repository server repository type choose type server content repository hosted choose either webdav sharepoint on premise path enter path subfolder content repository want device user access entire repository only one folder path specified if field left blank folder repository url selected filter restrict file type device user access based file extension device user see file type specified filter all file invisible device user enter file filter following format extension you separate different extension type comma for example doc pdf txt alias specify root folder content repository within soti hub app separate merge content multiple content repository content repository appears named alias folder within my library section soti hub app if specify alias folder enterprise content appears directly my library section soti hub app you may use one alias per repository if use alias different repository content repository appears one root folder device user soti hub app domain specify domain prefixed username exchanging login credential content repository server the following macro supported enrolleduserdomain note to use macro device must enrolled using domain prefill username specify username used authenticate soti hub user content repository server this value appears username field soti hub application login page uneditable if username specified user prompted login credential the following macro supported enrolleduserupn enrolleduseremail enrolleduserusername note to use macro device must enrolled using information if username macro provided device user must provide username match domain prefill password specify password authenticates soti hub user content repository server if password specified field user automatically logged soti hub application if password specified user must enter password match prefill username this option available prefill username selected if prefill password device user automatically logged open application device this option available prefill username set use enterprise resource gateway force device communicate enterprise resource gateway erg access content repository see information erg interacts soti hub enterprise resource gateway select soti mobicontrol enterprise resource gateway device use access content repository note only erg enable filtering network traffic enterprise content option selected appear dropdown list to select erg option all platform tab click server tab rightclick erg want device use on popup menu click property open erg property dialog box select enterprise content filter dropdown list select enable filtering network traffic enterprise content option download content over cellular allow device user download content connected cellular network if unchecked device user download content wifi network download content while roaming allow device user download content roaming note this option available android plus platform mandatory file fetch setting this section allows mark certain folder file content repository mandatory downloads soti hub app see information note the mandatory folder file downloaded device automatically deleted repository url repository type path filter alias domain prefill username prefill password enterprise resource gateway setting changed soti hub profile configuration enable file fetch when enabled soti hub app automatically downloads folder file specified folder file list fetch interval specify minute often want soti hub app check content repository change folder file folder file list the interval frequent every minute in case device access multiple content repository differing fetch interval frequent schedule applies folder file list click configure button open configure folder file fetch list dialog box specify list file folder want automatically downloaded soti hub app dlp setting when enable data leakage prevention dlp setting control device user interact file content repository therefore limiting potential exposure company data automatically opened soti hub editor choose whether device user share content application print file repository enable dlp setting when enabled file type soti hub app opened soti hub editor unsupported file type opened device user unless file type added exclude file format field enable file share when enabled device user share soti hub file application enable file print when enabled device user print soti hub file directly soti hub editor exclude file format when enabled chosen file type opened thirdparty app soti hub editor if unsupported file type content repository use option allow user open thirdparty app otherwise user blocked opening unsupported file separate multiple file type using comma supported file type the following file type automatically opened using soti hub editor dlp setting enabled device user blocked opening unsupported file type unless file type added exclude file format field excluded file opened appropriate thirdparty app txt rtf doc docx pdf ppt pptx xl xlsx csv jpg jpeg bmp gif png pps ppsx htm html these io specific file type also supported io device page number key parent topic email description enter name soti hub configuration this name used description configuration note this field contain following character allow user save password allow device user save password login screen if set prefill username prefill password see application also remember username content refresh interval specify frequently minute soti hub app contact content repository server synchronizes change content soti hub app inactivity timeout specify long minute app inactive ie screen user interacted app etc device user logged soti hub app enter disable inactivity timeout cancel downloads inactivity timeout cancel downloads progress inactivity timeout period expires this option selected default if set inactivity timeout period begin downloads completed this option available inactivity timeout set repository url enter url site repository the soti hub app us url access content repository server the port may specified part url if plan route traffic enterprise resource gateway specify internal url used access content repository server repository type choose type server content repository hosted choose either webdav sharepoint on premise path enter path subfolder content repository want device user access entire repository only one folder path specified if field left blank folder repository url selected filter restrict file type device user access based file extension device user see file type specified filter all file invisible device user enter file filter following format extension you separate different extension type comma for example doc pdf txt alias specify root folder content repository within soti hub app separate merge content multiple content repository content repository appears named alias folder within my library section soti hub app if specify alias folder enterprise content appears directly my library section soti hub app you may use one alias per repository if use alias different repository content repository appears one root folder device user soti hub app domain specify domain prefixed username exchanging login credential content repository server the following macro supported enrolleduserdomain note to use macro device must enrolled using domain prefill username specify username used authenticate soti hub user content repository server this value appears username field soti hub application login page uneditable if username specified user prompted login credential the following macro supported enrolleduserupn enrolleduseremail enrolleduserusername note to use macro device must enrolled using information if username macro provided device user must provide username match domain prefill password specify password authenticates soti hub user content repository server if password specified field user automatically logged soti hub application if password specified user must enter password match prefill username this option available prefill username selected if prefill password device user automatically logged open application device this option available prefill username set use enterprise resource gateway force device communicate enterprise resource gateway erg access content repository see information erg interacts soti hub enterprise resource gateway select soti mobicontrol enterprise resource gateway device use access content repository note only erg enable filtering network traffic enterprise content option selected appear dropdown list to select erg option all platform tab click server tab rightclick erg want device use on popup menu click property open erg property dialog box select enterprise content filter dropdown list select enable filtering network traffic enterprise content option download content over cellular allow device user download content connected cellular network if unchecked device user download content wifi network download content while roaming allow device user download content roaming note this option available android plus platform enable file fetch when enabled soti hub app automatically downloads folder file specified folder file list fetch interval specify minute often want soti hub app check content repository change folder file folder file list the interval frequent every minute in case device access multiple content repository differing fetch interval frequent schedule applies folder file list click configure button open configure folder file fetch list dialog box specify list file folder want automatically downloaded soti hub app enable dlp setting when enabled file type soti hub app opened soti hub editor unsupported file type opened device user unless file type added exclude file format field enable file share when enabled device user share soti hub file application enable file print when enabled device user print soti hub file directly soti hub editor exclude file format when enabled chosen file type opened thirdparty app soti hub editor if unsupported file type content repository use option allow user open thirdparty app otherwise user blocked opening unsupported file separate multiple file type using comma email,soti hub setting console reference dialog profile androidplus profile sotihub androidplus
929,use dialog box specify list file folder automatically downloaded device file folder downloaded device order appear list new open add path dialog box specify file folder path want add list edit open edit path dialog box edit path selected file folder move up move selected file folder one position list move down move selected file folder one position list delete deletes selected file folder list delete all deletes file folder list parent topic email new open add path dialog box specify file folder path want add list edit open edit path dialog box edit path selected file folder move up move selected file folder one position list move down move selected file folder one position list delete deletes selected file folder list delete all deletes file folder list email,configure folder file fetch list console reference dialog profile androidplus profile sotihub fetchlist androidplus
930,use dialog box enter path file folder want add fetch list the path continue repository url configured path specified content repository setting for example file whose full path httpmobicontrolsotinetproductssotioneplatformbrochurepdf httpmobicontrolsotinet repository url enter productssotioneplatformbrochurepdf path note the path start end contain following character file select option item file enter path file folder select option item folder enter path folder parent topic email file select option item file enter path file folder select option item folder enter path folder email,addedit path console reference dialog profile androidplus profile sotihub fetchlist addedit androidplus
931,setting use dialog box configure setting soti surf app privacy specify privacy setting click configure button open configure privacy setting dialog box specify browsing capability soti surf app filtering enable intranet gateway select option click configure button open configure intranet gateway setting dialog box specify detail enterprise resource gateway want soti surf use enable website filtering select option click configure button open configure website filtering dialog box block website based url content type others enable home screen select option click configure button open configure home screen dialog box set specific website home screen soti surf display curated set website link enable kiosk mode select option click configure button open configure kiosk mode setting dialog box specify kiosk mode reduced functionality setting export browsing history file select option click configure button open configure file location dialog box specify location file containing browser history specify download location select option click configure button open configure download location dialog box specify location document downloaded browser specify network setting click configure button open configure network setting dialog box specify type network want configure browsing app shut down time specify time minute configuration change pushed device app forced shut apply update requiring device user log if device assigned multiple soti surf configuration conflicting app shutdown time configuration created first applies enable ldap login when option enabled device user must use ldap credential log soti surf you must intranet gateway setting configured use option if device assigned multiple soti surf configuration conflicting enable ldap login setting configuration ldap enabled applies if multiple soti surf configuration ldap enabled differing inactivity timeouts timeout period specified configuration applied first supersedes subsequent configuration inactivity timeout specify user inactivity time minute user logged enter disable inactivity timeout browser parent topic email specify privacy setting click configure button open configure privacy setting dialog box specify browsing capability soti surf app enable intranet gateway select option click configure button open configure intranet gateway setting dialog box specify detail enterprise resource gateway want soti surf use enable website filtering select option click configure button open configure website filtering dialog box block website based url content type enable home screen select option click configure button open configure home screen dialog box set specific website home screen soti surf display curated set website link enable kiosk mode select option click configure button open configure kiosk mode setting dialog box specify kiosk mode reduced functionality setting export browsing history file select option click configure button open configure file location dialog box specify location file containing browser history specify download location select option click configure button open configure download location dialog box specify location document downloaded browser specify network setting click configure button open configure network setting dialog box specify type network want configure browsing app shut down time specify time minute configuration change pushed device app forced shut apply update requiring device user log if device assigned multiple soti surf configuration conflicting app shutdown time configuration created first applies enable ldap login when option enabled device user must use ldap credential log soti surf you must intranet gateway setting configured use option if device assigned multiple soti surf configuration conflicting enable ldap login setting configuration ldap enabled applies if multiple soti surf configuration ldap enabled differing inactivity timeouts timeout period specified configuration applied first supersedes subsequent configuration inactivity timeout specify user inactivity time minute user logged enter disable inactivity timeout browser email,soti surf setting console reference dialog profile androidplus profile sotisurf androidplus
