,page,link,title,Article,parsed_link,Summary
840,840,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/alert/windowsmodern/alert_devicestatuseventscard_windowsmodern.html,Device Status Events,Select the device status values you want to trigger alerts. You can specify a customized message and severity level for each device status event. Cellular Carrier Triggers an alert based on the string value entered for cellular carrier. Operating System Version Triggers an alert based on the numeric value entered for current system version. Parent topic: © 2019 Email: Cellular Carrier Triggers an alert based on the string value entered for cellular carrier. Operating System Version Triggers an alert based on the numeric value entered for current system version. © 2019 Email:,console reference dialogs rules alert windowsmodern alert devicestatuseventscard windowsmodern,Device Status Events console reference dialogs rules alert windowsmodern alert devicestatuseventscard windowsmodern
841,841,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/alert/windowsmodern/alert_devicehealtheventscard_windowsmodern.html,Device Health Attestation Events,"Select the Device Health Attestation events you want to trigger alerts. Each event corresponds to a that is checked by the service for compliance. For each Device Health Attestation event you select, choose the operation (equal or not equal) and value (pass, warning, or fail) that will trigger an alert. You can specify a customized message and severity level for each Device Health Attestation event. Parent topic: Related concepts © 2019 Email: © 2019 Email:",console reference dialogs rules alert windowsmodern alert devicehealtheventscard windowsmodern,Device Health Attestation Events console reference dialogs rules alert windowsmodern alert devicehealtheventscard windowsmodern
842,842,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/alert/windowsmodern/alert_targetcard_windowsmodern.html,Rule Target,"Select the devices or device groups this alert rule will target. When you select a device group in the left pane, the devices that are enrolled in that group are listed in the right pane. To select or deselect individual devices, click the check box to the left of the device name. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules alert windowsmodern alert targetcard windowsmodern,Rule Target console reference dialogs rules alert windowsmodern alert targetcard windowsmodern
843,843,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/alert/windowsmodern/alert_schedulecard_windowsmodern.html,Schedule,Select a schedule that devices will follow to evaluate alerts generated by this rule. New Opens the Schedule Entry dialog box in which you can create a new schedule. Edit Opens the Schedule Entry dialog box in which you can edit the selected schedule. Parent topic: © 2019 Email: New Opens the Schedule Entry dialog box in which you can create a new schedule. Edit Opens the Schedule Entry dialog box in which you can edit the selected schedule. © 2019 Email:,console reference dialogs rules alert windowsmodern alert schedulecard windowsmodern,Schedule console reference dialogs rules alert windowsmodern alert schedulecard windowsmodern
844,844,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/alert/windowsmodern/alert_actionscard_windowsmodern.html,Actions,Select the actions you want SOTI MobiControl to perform when an alert is generated. Parent topic: © 2019 Email: © 2019 Email:,console reference dialogs rules alert windowsmodern alert actionscard windowsmodern,Actions console reference dialogs rules alert windowsmodern alert actionscard windowsmodern
845,845,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/alert/windowsmodern/alert_emailcard_windowsmodern.html,Email,"Specify the email settings that will be used to send email notifications for this alert. Send Email Notification Select this option to enable alerts generated by this rule to send email notifications. From Select an email profile from the list, or click the Email Profiles button to open the dialog box in which you can create a new email profile. Priority Select the priority with which you want the email notification to be sent. To Enter the email addresses to which you want the email notification to be sent. CC Enter the email addresses to which you want a copy of the email notification to be sent. To send a blind copy to recipients, click the BCC button and enter the email addresses in the BCC field. Subject Enter the text you want to appear in the subject line of the email notification. To use a macro to generate subject line text, click the macro button beside the field and select the macro you want to use. Message Enter the text you want to appear in the message body of the email notification. To use a macro to generate message body text, click the macro button beside the field and select the macro you want to use. Parent topic: © 2019 Email: Send Email Notification Select this option to enable alerts generated by this rule to send email notifications. From Select an email profile from the list, or click the Email Profiles button to open the dialog box in which you can create a new email profile. Priority Select the priority with which you want the email notification to be sent. To Enter the email addresses to which you want the email notification to be sent. CC Enter the email addresses to which you want a copy of the email notification to be sent. To send a blind copy to recipients, click the BCC button and enter the email addresses in the BCC field. Subject Enter the text you want to appear in the subject line of the email notification. To use a macro to generate subject line text, click the macro button beside the field and select the macro you want to use. Message Enter the text you want to appear in the message body of the email notification. To use a macro to generate message body text, click the macro button beside the field and select the macro you want to use. © 2019 Email:",console reference dialogs rules alert windowsmodern alert emailcard windowsmodern,Email console reference dialogs rules alert windowsmodern alert emailcard windowsmodern
846,846,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/alert/windowsmodern/alert_summarycard_windowsmodern.html,Summary,"Displays summary information about this alert rule so you can review it for correctness. To specify an activation date and time for the rule, click the Advanced button. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules alert windowsmodern alert summarycard windowsmodern,Summary console reference dialogs rules alert windowsmodern alert summarycard windowsmodern
847,847,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/alert/windowsmodern/alert_advancedcard_windowsmodern.html,Advanced,"Specify the date and time you want this alert rule to be activated and, optionally, deactivated. You can also choose to enable or disable the rule. Rule Activation/Deactivation Schedule Activate Date Select a date and time on which the rule will be activated. Specify Deactivation Time Select this option if you want to select a date and time on which the rule will be deactivated. Deactivation Date Select a date and time on which the rule will be deactivated. Parent topic: © 2019 Email: Activate Date Select a date and time on which the rule will be activated. Specify Deactivation Time Select this option if you want to select a date and time on which the rule will be deactivated. Deactivation Date Select a date and time on which the rule will be deactivated. © 2019 Email:",console reference dialogs rules alert windowsmodern alert advancedcard windowsmodern,Advanced console reference dialogs rules alert windowsmodern alert advancedcard windowsmodern
848,848,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/telecomem.html,Telecom Expense Management Rules,"A telecom expense management rule enables you to create a notification process for devices that have exceeded their voice and data plan. When a device has exceeded its monthly minutes and data on its wireless plan, this rule will automatically move the device to a quarantine list or notify you via email. To create a telecom expense management rule, use the Create Telecom Expense Management Rule wizard. Parent topic: Related concepts © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem telecomem,Telecom Expense Management Rules console reference dialogs rules telecomem telecomem
849,849,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/androidplus/telecomem_androidplus.html,Telecom Expense Management Rules for Android Plus,Help is available for each panel in the Create Telecom Expense Management Rule wizard and each tab in the Edit Telecom Expense Management Rule dialog box. Parent topic: © 2019 Email: © 2019 Email:,console reference dialogs rules telecomem androidplus telecomem androidplus,Telecom Expense Management Rules for Android Plus console reference dialogs rules telecomem androidplus telecomem androidplus
850,850,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/androidplus/telecomem_namecard_androidplus.html,Rule Name,Enter the name you want to assign to this telecom expense management rule. Name Enter the name you want to assign to this telecom expense management rule. Parent topic: © 2019 Email: Name Enter the name you want to assign to this telecom expense management rule. © 2019 Email:,console reference dialogs rules telecomem androidplus telecomem namecard androidplus,Rule Name console reference dialogs rules telecomem androidplus telecomem namecard androidplus
851,851,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/androidplus/telecomem_targetcard_androidplus.html,Rule Target,"Select the devices or device groups this telecom expense management rule will target. When you select a device group in the left pane, the devices that are enrolled in that group are listed in the right pane. To select or deselect individual devices, click the check box to the left of the device name. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem androidplus telecomem targetcard androidplus,Rule Target console reference dialogs rules telecomem androidplus telecomem targetcard androidplus
852,852,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/androidplus/telecomem_alertcard_androidplus.html,Alert,"Select the telecom plan you want to be associated with this rule and the actions that should be performed when the plan thresholds are exceeded. Telecom Plan Information Select the telecom plan you want to be associated with this rule. To create a new telecom plan, select Add New Plan from the list to open the Telecom Plan Policy dialog box. To edit the plan that is currently selected in the list, click Edit to open the plan in the Telecom Plan Policy dialog box. Soft and Hard Thresholds On the Soft Threshold and Hard Threshold tabs, select the voice and data usage thresholds that trigger alert actions, and the actions you want to be performed when the thresholds are exceeded. A soft threshold marks a lower 'early warning' level, while a hard threshold marks a higher critical level. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem androidplus telecomem alertcard androidplus,Alert console reference dialogs rules telecomem androidplus telecomem alertcard androidplus
853,853,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/androidplus/telecomem_planeditor_androidplus.html,Telecom Plan Policy,"Specify the name, start date, billing cycle, and total voice and data usage limits for the telecom plan. Note: If Total Voice or Total Data is left blank, usage is unlimited. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem androidplus telecomem planeditor androidplus,Telecom Plan Policy console reference dialogs rules telecomem androidplus telecomem planeditor androidplus
854,854,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/androidplus/telecomem_schedulecard_androidplus.html,Schedule,"Specify how often devices will collect the requested data, and the amount of data devices should retain for each data item. Collection Schedule Select a data collection schedule from the list, or define a new schedule. Note: Selecting a frequent collection schedule may reduce the device's battery life. New Opens the Schedule Entry dialog box in which you can define a new data collection schedule. Edit Opens the Schedule Entry dialog box in which you can edit the selected data collection schedule. Data Truncation Specify the amount of data devices retain for the collected items, and how long the data is to be retained on the server. Truncate items when total size exceeds Specify the maximum amount of data (in kilobytes) devices retain for the collected items. Devices will truncate items that exceed this amount. This prevents devices from accumulating an excessive amount of data if they are out of contact for an extended period. Truncate items older than Specify the maximum age (in days) of the data items retained on the server. Data items older that this are deleted. To disable data truncation, enter 0 (zero). Parent topic: © 2019 Email: New Opens the Schedule Entry dialog box in which you can define a new data collection schedule. Edit Opens the Schedule Entry dialog box in which you can edit the selected data collection schedule. Truncate items when total size exceeds Specify the maximum amount of data (in kilobytes) devices retain for the collected items. Devices will truncate items that exceed this amount. This prevents devices from accumulating an excessive amount of data if they are out of contact for an extended period. Truncate items older than Specify the maximum age (in days) of the data items retained on the server. Data items older that this are deleted. To disable data truncation, enter 0 (zero). © 2019 Email:",console reference dialogs rules telecomem androidplus telecomem schedulecard androidplus,Schedule console reference dialogs rules telecomem androidplus telecomem schedulecard androidplus
855,855,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/androidplus/telecomem_summarycard_androidplus.html,Summary,"Displays summary information about this telecom expense management rule so you can review it for correctness. To specify an activation date and time for the rule, click the Advanced button. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem androidplus telecomem summarycard androidplus,Summary console reference dialogs rules telecomem androidplus telecomem summarycard androidplus
856,856,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/androidplus/telecomem_advancedcard_androidplus.html,Advanced,"Specify the date and time you want this telecom expense management rule to be activated and, optionally, deactivated. You can also choose to enable or disable the rule. Rule Activation/Deactivation Schedule Activate Date Select a date and time on which the rule will be activated. Specify Deactivation Time Select this option if you want to select a date and time on which the rule will be deactivated. Deactivate Date Select a date and time on which the rule will be deactivated. Parent topic: © 2019 Email: Activate Date Select a date and time on which the rule will be activated. Specify Deactivation Time Select this option if you want to select a date and time on which the rule will be deactivated. Deactivate Date Select a date and time on which the rule will be deactivated. © 2019 Email:",console reference dialogs rules telecomem androidplus telecomem advancedcard androidplus,Advanced console reference dialogs rules telecomem androidplus telecomem advancedcard androidplus
857,857,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/ios/telecomem_ios.html,Telecom Expense Management Rules for iOS,Help is available for each panel in the Create Telecom Expense Management Rule wizard and each tab in the Edit Telecom Expense Management Rule dialog box. Parent topic: © 2019 Email: © 2019 Email:,console reference dialogs rules telecomem ios telecomem ios,Telecom Expense Management Rules for iOS console reference dialogs rules telecomem ios telecomem ios
858,858,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/ios/telecomem_namecard_ios.html,Rule Name,Enter the name you want to assign to this telecom expense management rule. Name Enter the name you want to assign to this telecom expense management rule. Parent topic: © 2019 Email: Name Enter the name you want to assign to this telecom expense management rule. © 2019 Email:,console reference dialogs rules telecomem ios telecomem namecard ios,Rule Name console reference dialogs rules telecomem ios telecomem namecard ios
859,859,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/ios/telecomem_targetcard_ios.html,Rule Target,"Select the devices or device groups this telecom expense management rule will target. When you select a device group in the left pane, the devices that are enrolled in that group are listed in the right pane. To select or deselect individual devices, click the check box to the left of the device name. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem ios telecomem targetcard ios,Rule Target console reference dialogs rules telecomem ios telecomem targetcard ios
860,860,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/ios/telecomem_alertcard_ios.html,Alert,"Select the telecom plan you want to be associated with this rule and the actions that should be performed when the plan thresholds are exceeded. Telecom Plan Information Select the telecom plan you want to be associated with this rule. To create a new telecom plan, select Add New Plan from the list to open the Telecom Plan Policy dialog box. To edit the plan that is currently selected in the list, click Edit to open the plan in the Telecom Plan Policy dialog box. Soft and Hard Thresholds On the Soft Threshold and Hard Threshold tabs, select the voice and data usage thresholds that trigger alert actions, and the actions you want to be performed when the thresholds are exceeded. A soft threshold marks a lower 'early warning' level, while a hard threshold marks a higher critical level. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem ios telecomem alertcard ios,Alert console reference dialogs rules telecomem ios telecomem alertcard ios
861,861,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/ios/telecomem_planeditor_ios.html,Telecom Plan Policy,"Specify the name, start date, billing cycle, and total voice and data usage limits for the telecom plan. Note: If Total Voice or Total Data is left blank, usage is unlimited. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem ios telecomem planeditor ios,Telecom Plan Policy console reference dialogs rules telecomem ios telecomem planeditor ios
862,862,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/ios/telecomem_schedulecard_ios.html,Schedule,"Specify how often devices will collect the requested data, and the amount of data devices should retain for each data item. Collection Schedule Select a data collection schedule from the list, or define a new schedule. Note: Selecting a frequent collection schedule may reduce the device's battery life. New Opens the Schedule Entry dialog box in which you can define a new data collection schedule. Edit Opens the Schedule Entry dialog box in which you can edit the selected data collection schedule. Data Truncation Specify the amount of data devices retain for the collected items, and how long the data is to be retained on the server. Truncate items when total size exceeds Specify the maximum amount of data (in kilobytes) devices retain for the collected items. Devices will truncate items that exceed this amount. This prevents devices from accumulating an excessive amount of data if they are out of contact for an extended period. Truncate items older than Specify the maximum age (in days) of the data items retained on the server. Data items older that this are deleted. To disable data truncation, enter 0 (zero). Parent topic: © 2019 Email: New Opens the Schedule Entry dialog box in which you can define a new data collection schedule. Edit Opens the Schedule Entry dialog box in which you can edit the selected data collection schedule. Truncate items when total size exceeds Specify the maximum amount of data (in kilobytes) devices retain for the collected items. Devices will truncate items that exceed this amount. This prevents devices from accumulating an excessive amount of data if they are out of contact for an extended period. Truncate items older than Specify the maximum age (in days) of the data items retained on the server. Data items older that this are deleted. To disable data truncation, enter 0 (zero). © 2019 Email:",console reference dialogs rules telecomem ios telecomem schedulecard ios,Schedule console reference dialogs rules telecomem ios telecomem schedulecard ios
863,863,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/ios/telecomem_summarycard_ios.html,Summary,"Displays summary information about this telecom expense management rule so you can review it for correctness. To specify an activation date and time for the rule, click the Advanced button. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem ios telecomem summarycard ios,Summary console reference dialogs rules telecomem ios telecomem summarycard ios
864,864,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/ios/telecomem_advancedcard_ios.html,Advanced,"Specify the date and time you want this telecom expense management rule to be activated and, optionally, deactivated. You can also choose to enable or disable the rule. Rule Activation/Deactivation Schedule Activate Date Select a date and time on which the rule will be activated. Specify Deactivation Time Select this option if you want to select a date and time on which the rule will be deactivated. Deactivate Date Select a date and time on which the rule will be deactivated. Parent topic: © 2019 Email: Activate Date Select a date and time on which the rule will be activated. Specify Deactivation Time Select this option if you want to select a date and time on which the rule will be deactivated. Deactivate Date Select a date and time on which the rule will be deactivated. © 2019 Email:",console reference dialogs rules telecomem ios telecomem advancedcard ios,Advanced console reference dialogs rules telecomem ios telecomem advancedcard ios
865,865,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/windowsmobile/telecomem_windowsmobile.html,Telecom Expense Management Rules for Windows Mobile/CE,Help is available for each panel in the Create Telecom Expense Management Rule wizard and each tab in the Edit Telecom Expense Management Rule dialog box. Parent topic: © 2019 Email: © 2019 Email:,console reference dialogs rules telecomem windowsmobile telecomem windowsmobile,Telecom Expense Management Rules for Windows Mobile/CE console reference dialogs rules telecomem windowsmobile telecomem windowsmobile
866,866,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/windowsmobile/telecomem_namecard_windowsmobile.html,Rule Name,Enter the name you want to assign to this telecom expense management rule. Name Enter the name you want to assign to this telecom expense management rule. Parent topic: © 2019 Email: Name Enter the name you want to assign to this telecom expense management rule. © 2019 Email:,console reference dialogs rules telecomem windowsmobile telecomem namecard windowsmobile,Rule Name console reference dialogs rules telecomem windowsmobile telecomem namecard windowsmobile
867,867,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/windowsmobile/telecomem_targetcard_windowsmobile.html,Rule Target,"Select the devices or device groups this telecom expense management rule will target. When you select a device group in the left pane, the devices that are enrolled in that group are listed in the right pane. To select or deselect individual devices, click the check box to the left of the device name. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem windowsmobile telecomem targetcard windowsmobile,Rule Target console reference dialogs rules telecomem windowsmobile telecomem targetcard windowsmobile
868,868,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/windowsmobile/telecomem_alertcard_windowsmobile.html,Alert,"Select the telecom plan you want to be associated with this rule and the actions that should be performed when the plan thresholds are exceeded. Telecom Plan Information Select the telecom plan you want to be associated with this rule. To create a new telecom plan, select Add New Plan from the list to open the Telecom Plan Policy dialog box. To edit the plan that is currently selected in the list, click Edit to open the plan in the Telecom Plan Policy dialog box. Soft and Hard Thresholds On the Soft Threshold and Hard Threshold tabs, select the voice and data usage thresholds that trigger alert actions, and the actions you want to be performed when the thresholds are exceeded. A soft threshold marks a lower 'early warning' level, while a hard threshold marks a higher critical level. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem windowsmobile telecomem alertcard windowsmobile,Alert console reference dialogs rules telecomem windowsmobile telecomem alertcard windowsmobile
869,869,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/windowsmobile/telecomem_planeditor_windowsmobile.html,Telecom Plan Policy,"Specify the name, start date, billing cycle, and total voice and data usage limits for the telecom plan. Note: If Total Voice or Total Data is left blank, usage is unlimited. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem windowsmobile telecomem planeditor windowsmobile,Telecom Plan Policy console reference dialogs rules telecomem windowsmobile telecomem planeditor windowsmobile
870,870,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/windowsmobile/telecomem_schedulecard_windowsmobile.html,Schedule,"Specify how often devices will collect the requested data, and the amount of data devices should retain for each data item. Collection Schedule Select a data collection schedule from the list, or define a new schedule. Note: Selecting a frequent collection schedule may reduce the device's battery life. New Opens the Schedule Entry dialog box in which you can define a new data collection schedule. Edit Opens the Schedule Entry dialog box in which you can edit the selected data collection schedule. Data Truncation Specify the amount of data devices retain for the collected items, and how long the data is to be retained on the server. Truncate items when total size exceeds Specify the maximum amount of data (in kilobytes) devices retain for the collected items. Devices will truncate items that exceed this amount. This prevents devices from accumulating an excessive amount of data if they are out of contact for an extended period. Truncate items older than Specify the maximum age (in days) of the data items retained on the server. Data items older that this are deleted. To disable data truncation, enter 0 (zero). Parent topic: © 2019 Email: New Opens the Schedule Entry dialog box in which you can define a new data collection schedule. Edit Opens the Schedule Entry dialog box in which you can edit the selected data collection schedule. Truncate items when total size exceeds Specify the maximum amount of data (in kilobytes) devices retain for the collected items. Devices will truncate items that exceed this amount. This prevents devices from accumulating an excessive amount of data if they are out of contact for an extended period. Truncate items older than Specify the maximum age (in days) of the data items retained on the server. Data items older that this are deleted. To disable data truncation, enter 0 (zero). © 2019 Email:",console reference dialogs rules telecomem windowsmobile telecomem schedulecard windowsmobile,Schedule console reference dialogs rules telecomem windowsmobile telecomem schedulecard windowsmobile
871,871,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/windowsmobile/telecomem_summarycard_windowsmobile.html,Summary,"Displays summary information about this telecom expense management rule so you can review it for correctness. To specify an activation date and time for the rule, click the Advanced button. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs rules telecomem windowsmobile telecomem summarycard windowsmobile,Summary console reference dialogs rules telecomem windowsmobile telecomem summarycard windowsmobile
872,872,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/rules/telecomem/windowsmobile/telecomem_advancedcard_windowsmobile.html,Advanced,"Specify the date and time you want this telecom expense management rule to be activated and, optionally, deactivated. You can also choose to enable or disable the rule. Rule Activation/Deactivation Schedule Activate Date Select a date and time on which the rule will be activated. Specify Deactivation Time Select this option if you want to select a date and time on which the rule will be deactivated. Deactivate Date Select a date and time on which the rule will be deactivated. Parent topic: © 2019 Email: Activate Date Select a date and time on which the rule will be activated. Specify Deactivation Time Select this option if you want to select a date and time on which the rule will be deactivated. Deactivate Date Select a date and time on which the rule will be deactivated. © 2019 Email:",console reference dialogs rules telecomem windowsmobile telecomem advancedcard windowsmobile,Advanced console reference dialogs rules telecomem windowsmobile telecomem advancedcard windowsmobile
873,873,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/profiles/profiles.html,Profiles,"In SOTI MobiControl , a profile is a named set of configurations and software that affects mobile devices. A profile can contain configurations or packages or both. Configurations are device settings or accounts that modify the functionality of devices. For example, depending on your device platform you can limit access to certain types of applications, provision security certificates or configure VPN settings. Packages are containers for applications, scripts or files to be installed on your devices. If you need to send an application to these devices, you must first wrap it in a package that tells SOTI MobiControl how to install the application onto your devices. SOTI MobiControl provides a standalone application named to easily turn your applications into packages compatible with SOTI MobiControl . This help section provides reference information about the dialog boxes and wizards you use when you create or edit profiles. Parent topic: Related concepts © 2019 Email: © 2019 Email:",console reference dialogs profiles profiles,Profiles console reference dialogs profiles profiles
874,874,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/profiles/androidplus/profile_androidplus.html,Android Plus Profiles,Help is available for each of the profile dialog boxes. Parent topic: © 2019 Email: © 2019 Email:,console reference dialogs profiles androidplus profile androidplus,Android Plus Profiles console reference dialogs profiles androidplus profile androidplus
875,875,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/profiles/androidplus/profile_addedit_androidplus.html,Add/Edit Profile,"General Use this tab to enter a name and description for the profile. Name Enter a unique name for the profile. Description Enter a description of the profile. Type Select the Android device type for the profile: Android Plus, Samsung KNOX, or Android Enterprise. Configurations Use this tab to add or remove configurations. Add Opens a menu from which you can select the configuration you want to add to the profile. Action Opens a menu with options to edit the selected configuration, delete the selected configuration, or delete all configurations. Packages Use this tab to add or remove packages. Add Opens the Add Package dialog box in which you can select the package you want to add to this profile. Action Opens a menu with options to delete the selected package, delete all packages, or define package dependencies. Parent topic: © 2019 Email: Name Enter a unique name for the profile. Description Enter a description of the profile. Type Select the Android device type for the profile: Android Plus, Samsung KNOX, or Android Enterprise. Add Opens a menu from which you can select the configuration you want to add to the profile. Action Opens a menu with options to edit the selected configuration, delete the selected configuration, or delete all configurations. Add Opens the Add Package dialog box in which you can select the package you want to add to this profile. Action Opens a menu with options to delete the selected package, delete all packages, or define package dependencies. © 2019 Email:",console reference dialogs profiles androidplus profile addedit androidplus,Add/Edit Profile console reference dialogs profiles androidplus profile addedit androidplus
876,876,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/profiles/androidplus/profile_configurations_androidplus.html,Profile Configurations,Help is available for each of the profile configuration dialog boxes. Parent topic: Related reference © 2019 Email: © 2019 Email:,console reference dialogs profiles androidplus profile configurations androidplus,Profile Configurations console reference dialogs profiles androidplus profile configurations androidplus
877,877,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/profiles/androidplus/profile_antivirus_androidplus.html,Antivirus Protection,"The Antivirus Protection profile configuration enables you to monitor files and applications on devices for potential virus infection. Scans can be configured from every two minutes to as much as once a month. Important: If your SD card is mounted with a different name than sdcard , the antivirus program might not find viruses located in that directory. Antivirus Whitelist Click the Antivirus Whitelist button to open the Antivirus Whitelist dialog box in which you can add applications and files that you want to be whitelisted by the antivirus program. General Select the types of antivirus monitoring you want on devices, and the device filesystem location of quarantined items. Enable Application Monitoring to scan applications that are installed or executed Select this option to enable the scanning of installed applications for viruses. Applications are also scanned when they are launched. Select whether you want potentially infected applications to be moved to the quarantine folder or deleted. Enable File System Monitoring to scan newly downloaded or modified files Select this option to enable the scanning of newly downloaded or modified files for viruses. Select whether you want potentially infected files to be moved to the quarantine folder or deleted. Quarantine File System Location on Device Enter the filesystem location on devices where you want quarantined items to be stored. Schedules Set schedules for running antivirus scans, updating virus definitions, and emptying the antivirus quarantine. Antivirus Scan Schedule Opens the Schedule Entry dialog box in which you can specify how often you want to run antivirus scans on devices. Definition Update Schedule Opens the Schedule Entry dialog box in which you can specify how often you want to update virus definitions on devices. Empty Quarantine Schedule Opens the Schedule Entry dialog box in which you can specify how often you want to delete items that have been quarantined. Parent topic: © 2019 Email: Enable Application Monitoring to scan applications that are installed or executed Select this option to enable the scanning of installed applications for viruses. Applications are also scanned when they are launched. Select whether you want potentially infected applications to be moved to the quarantine folder or deleted. Enable File System Monitoring to scan newly downloaded or modified files Select this option to enable the scanning of newly downloaded or modified files for viruses. Select whether you want potentially infected files to be moved to the quarantine folder or deleted. Quarantine File System Location on Device Enter the filesystem location on devices where you want quarantined items to be stored. Antivirus Scan Schedule Opens the Schedule Entry dialog box in which you can specify how often you want to run antivirus scans on devices. Definition Update Schedule Opens the Schedule Entry dialog box in which you can specify how often you want to update virus definitions on devices. Empty Quarantine Schedule Opens the Schedule Entry dialog box in which you can specify how often you want to delete items that have been quarantined. © 2019 Email:",console reference dialogs profiles androidplus profile antivirus androidplus,Antivirus Protection console reference dialogs profiles androidplus profile antivirus androidplus
878,878,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/profiles/androidplus/profile_antivirus_whitelist_androidplus.html,Antivirus Whitelist,"This dialog box lists the applications and files that have need added to the antivirus whitelist. Add Opens a menu from which you can select the type of item you want to add to the whitelist: Application File From Quarantine If you select From Quarantine , the Quarantine dialog box opens. Edit Enables you to edit the selected whitelist entry. Delete Deletes the selected application or file from the whitelist. Delete All Deletes all applications and files from the whitelist. Parent topic: © 2019 Email: Add Opens a menu from which you can select the type of item you want to add to the whitelist: Application File From Quarantine If you select From Quarantine , the Quarantine dialog box opens. Edit Enables you to edit the selected whitelist entry. Delete Deletes the selected application or file from the whitelist. Delete All Deletes all applications and files from the whitelist. © 2019 Email:",console reference dialogs profiles androidplus profile antivirus whitelist androidplus,Antivirus Whitelist console reference dialogs profiles androidplus profile antivirus whitelist androidplus
879,879,https://www.soti.net/mc/help/v14.0/en/console/reference/dialogs/profiles/androidplus/profile_antivirus_quarantine_androidplus.html,Quarantine,"This dialog box lists the files and applications that have been quarantined by the antivirus program. To add a quarantined item to the antivirus whitelist, select the item and click the Add button. Parent topic: © 2019 Email: © 2019 Email:",console reference dialogs profiles androidplus profile antivirus quarantine androidplus,Quarantine console reference dialogs profiles androidplus profile antivirus quarantine androidplus
